entity,type
Complaint,ORGANIZATION
Filed Against Thalapathy Vijay,PERSON
Iftar,ORGANIZATION
India,GPE
RELIGION,ORGANIZATION
Digital,ORGANIZATION
Was,GPE
Vijay,PERSON
Coimbatore,ORGANIZATION
Vijay,GPE
BR Ambedkar,ORGANIZATION
Chennai,GPE
Ambedkar Jayanti,PERSON
Watch,PERSON
Stalin,PERSON
EPS,ORGANIZATION
Leaders Greet Workers On International Labour,ORGANIZATION
MENAFN,ORGANIZATION
Business,ORGANIZATION
Finance News,ORGANIZATION
English,GPE
DMK,ORGANIZATION
Guv,PERSON
Vijay,PERSON
Muslims,PERSON
Iftar,ORGANIZATION
Vijay,PERSON
DNA Aman,ORGANIZATION
Actor,PERSON
Vijay,PERSON
TVK,ORGANIZATION
GetOut,ORGANIZATION
DMK,ORGANIZATION
Centre Feb,PERSON
Thalapathy Vijay,PERSON
Vijay,PERSON
TVK,ORGANIZATION
Thalapathy,GPE
Vijay,PERSON
Keerthy Suresh,PERSON
Antony Thattil,PERSON
Goa,GPE
Telegraph,GPE
India,GPE
Actor,PERSON
Vijay Gets,PERSON
Scale Security Cover,PERSON
MENAFN,ORGANIZATION
Business,ORGANIZATION
Finance News,ORGANIZATION
English,GPE
Madras HC,PERSON
Union,PERSON
Vikatan,PERSON
India,GPE
TOI,ORGANIZATION
INDIA,ORGANIZATION
TOI News,ORGANIZATION
Vijay,PERSON
Madurai,GPE
Patra,GPE
BJP,ORGANIZATION
Manipur,PERSON
India,GPE
Electronic Edition,ORGANIZATION
Tamil,PERSON
Nadu,GPE
Bihar,GPE
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
ANI,ORGANIZATION
Dalai,PERSON
India,GPE
Electronic Edition,ORGANIZATION
Tamil,GPE
Vijay,PERSON
BJP Manipur,ORGANIZATION
Patra,PERSON
India,GPE
Electronic Edition,ORGANIZATION
PMK,ORGANIZATION
Anbumani Nov,PERSON
India,GPE
TOI,ORGANIZATION
CHENNAI Bosco,ORGANIZATION
Vijay,PERSON
TVK,ORGANIZATION
Waqf Bill,PERSON
Tamil Nadu,GPE
Vijay,PERSON
TVK,ORGANIZATION
India,GPE
Vijay,PERSON
Vijay,PERSON
Tamil Nadu,PERSON
TVK,ORGANIZATION
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
ANI,ORGANIZATION
Thalapathy Vijay,ORGANIZATION
TVK,ORGANIZATION
INDIA,ORGANIZATION
Vijay,PERSON
TVK,ORGANIZATION
Vikravandi,GPE
Stalin,PERSON
EPS,ORGANIZATION
International Labour,ORGANIZATION
Tamil,PERSON
Star Vijay Hosts Iftar Party,PERSON
Chennai,GPE
MENAFN,ORGANIZATION
Business,ORGANIZATION
Finance News,ORGANIZATION
English,GPE
Actor,PERSON
Vijay Condoles Deaths,PERSON
Chennai Marina Air Show,PERSON
Asks State,PERSON
Future,GPE
Indian,GPE
Media,ORGANIZATION
Tamil,PERSON
Vijay,PERSON
Actor,PERSON
Vijay,PERSON
TVK Launches,ORGANIZATION
Getout Campaign,PERSON
Against DMK Govt,PERSON
Centre Feb,PERSON
MENAFN,ORGANIZATION
Business,ORGANIZATION
Finance News,ORGANIZATION
English,GPE
Vijay,PERSON
Sports New Look,PERSON
Farewell Film Jana Nayagan,ORGANIZATION
LATEST Times,ORGANIZATION
Digital,ORGANIZATION
Opinion,GPE
DMK,ORGANIZATION
Erode,GPE
East,GPE
AIADMK,GPE
BJP,ORGANIZATION
Tamil Nadu,GPE
Business Standard,ORGANIZATION
Online,GPE
Women,GPE
Vijay,PERSON
DMK,ORGANIZATION
UNI,ORGANIZATION
United News,ORGANIZATION
India,GPE
Election,GPE
Prashant Kishor,ORGANIZATION
TVK Founder Vijay,ORGANIZATION
UNI,ORGANIZATION
United News,ORGANIZATION
India,GPE
Massive,GPE
Kolkata,GPE
Chennai,PERSON
Parliament,ORGANIZATION
Waqf Bill,PERSON
Owaisi,PERSON
Supreme Court,ORGANIZATION
Financial Express India News,ORGANIZATION
Vijay,PERSON
Telegraph,GPE
India,GPE
Urmi,PERSON
India,GPE
DNA Abhimanyu,ORGANIZATION
Thalapathy,GPE
Vijay Offers Prayers,PERSON
Hosts Iftaar Party,PERSON
Chennai,GPE
Holy Month,PERSON
Of Ramadan,ORGANIZATION
India,GPE
RELIGION,ORGANIZATION
Digital,ORGANIZATION
Vijay,GPE
India,GPE
Electronic Edition,ORGANIZATION
TIMES,ORGANIZATION
TIMES,ORGANIZATION
Hanumankind,GPE
Thalapathy Vijay,GPE
Jana Nayagan,PERSON
Hanumankind,PERSON
Thalapathy Vijay,ORGANIZATION
Indian,GPE
Vijay,PERSON
Thirumavalavan,PERSON
Vijay,GPE
TVK,ORGANIZATION
TN,ORGANIZATION
India,GPE
Electronic Edition,ORGANIZATION
TIMES,ORGANIZATION
TIMES,ORGANIZATION
Pawan,GPE
Kalyan Extends Warm Wishes,PERSON
Thalapathy Vijay,ORGANIZATION
Journey Oct,PERSON
Indian,GPE
Political,ORGANIZATION
TVK,ORGANIZATION
Vijay,PERSON
Tamil Nadu,PERSON
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
Joseph Vijay,PERSON
Actor,PERSON
Vijay,PERSON
TVK,ORGANIZATION
GetOut,ORGANIZATION
DMK,ORGANIZATION
Centre Feb,PERSON
Huge,GPE
Kolkata,GPE
Chennai,PERSON
Waqf Amendment,PERSON
Bill Apr,PERSON
India,GPE
VCK,ORGANIZATION
Aadhav Arjuna,PERSON
Vijay,PERSON
India,GPE
Actor,PERSON
Vijay,PERSON
Supreme Court,ORGANIZATION
Waqf Act,PERSON
Asian,GPE
News International,ORGANIZATION
ANI,ORGANIZATION
ANI,ORGANIZATION
TVK,ORGANIZATION
Villivakkam,GPE
India,GPE
TOI,ORGANIZATION
CHENNAI Omjasvin,ORGANIZATION
